Category,Item Type,UAE & KSA Referral Rate (eff. From 15th May to 15th October 2018)
Appliances,"Sewing and Accessories, Coolers, Heaters, Fans, Sandwich & Waffle Makers, Juicers & Presses, Rice Cooker, Fryers, Toasters, Kettles, Food Preparation, Irons, Vacuum Cleaners, Coffee & Espresso Makers, Air Treatment, Microwaves, Blenders & Mixers, Food Processors, Electric Meat Grinders, Dryers, Range Hoods, Appliances Parts & Accessories, Water Heaters",1%
Appliances,"Air Conditioners, Washers Dryers 2 in 1, Washing Machines, Dishwashers,  Ovens & Ranges, Refrigerators & Freezers",5%
Appliances,"Specialty Kitchen Appliances, Vacuums and Floor care Accessories, Ironing Accessories, Kitchen Scales, Electric Slicers, Steam Cleaners, Water Coolers & Dispensers",3%
"Art, Crafts
& Collectibles","Drawings & Paintings, Handcrafts, Sculpture & Carvings, Maps, Atlases & Globes, Antiques, Prints, Posters & Photographs",3%
"Art, Crafts
& Collectibles","Islamic, Ethnic and Digital Art",3%
Baby,Diapers,3%
Baby,"Baby Safety and Health, Feeding, Baby Toys and Accessories, Baby bags, Baby Gift Sets, Baby Accessories, Baby Bath & Skin Care",3%
Baby,"Baby Gear, Baby Clothes",3%
Baby,Nursery Furniture & Décor,3%
Bags & Wallets,Specialty Bags & Carry Cases,4%
Bags & Wallets,"Backpacks, Handbags, Trolley Suitcases & Bags, Wallets, Duffle Bags, Packing & Bags Accessories",4%
Beauty,"Makeup, Skin Care, Hair Care, Beauty Tools And Accessories, Beauty Gifts And Sets, Hair Tools & Accessories",3%
Beauty,Soap & Shower Gel,3%
Bed & Bath,"Bathroom Accessories, Bed Pillows, Towels, Showers & Shower Heads, Blankets & Throws",3%
Bed & Bath,"Bedding Sets & Components, Mattresses",15%
Books,"Lifestyle Books, Magazines, Children’s Books, Business & Trade Books, Education, Learning & Self Help Books, Comics & Graphic Novels, Literature & Fiction",5%
Clothing,wigs,4%
Clothing,"Women’s Lingerie, Maternity Wear, Uniform, Dresses, Accessories, Sportswear, Costumes, Jackets & Coats, Pants, Shorts, Skirts, Sleepwear, Suits, Swimwear, Tops, Underwear, Ethnic & Traditional Wear, Belts, Jumpsuits, Rompers & Overalls, Hats & Caps, Scarves & Wraps",4%
Clothing,Eyewear Accessories,4%
